variable,value,queen,week,subject
fungus,0.3343,0,9,0_6
fungus,0.229,1,9,1_1
fungus,0.1211,1,9,1_2
fungus,0.4109,1,9,1_3
fungus,0.5363,1,9,1_4
fungus,0.111,1,9,1_5
fungus,0.3976,1,9,1_6
fungus,0,1,9,1_7
fungus,0.2542,5,9,5_1
fungus,0.1062,5,9,5_2
fungus,0.2115,5,9,5_3
fungus,0.3486,5,9,5_4
fungus,0,5,9,5_5
fungus,0.1688,10,9,10_1
fungus,0.214,10,9,10_2
fungus,0.2305,10,9,10_3
fungus,0.2274,10,9,10_4
fungus,0,10,9,10_5
fungus,0,10,9,10_6
fungus,0,10,9,10_7
fungus,0,10,9,10_8
fungus,0.1399,0,10,0_1
fungus,0.1534,0,10,0_2
fungus,0.3837,0,10,0_3
fungus,0.1747,0,10,0_4
fungus,0.2441,0,10,0_5
fungus,0.3333,0,10,0_6
fungus,0.2132,1,10,1_1
fungus,0.1152,1,10,1_2
fungus,0.3883,1,10,1_3
fungus,0.5346,1,10,1_4
fungus,0.1077,1,10,1_5
fungus,0.3729,1,10,1_6
fungus,0,1,10,1_7
fungus,0.249,5,10,5_1
fungus,0.1051,5,10,5_2
fungus,0.2143,5,10,5_3
fungus,0.3243,5,10,5_4
fungus,0,5,10,5_5
fungus,0.1637,10,10,10_1
fungus,0.2006,10,10,10_2
fungus,0.2262,10,10,10_3
fungus,0.214,10,10,10_4
fungus,0,10,10,10_5
fungus,0,10,10,10_6
fungus,0,10,10,10_7
fungus,0,10,10,10_8
fungus,0.1394,0,11,0_1
fungus,0.1484,0,11,0_2
fungus,0.3785,0,11,0_3
fungus,0.1731,0,11,0_4
fungus,0.251,0,11,0_5
fungus,0.3328,0,11,0_6
fungus,0.2093,1,11,1_1
fungus,0.1146,1,11,1_2
fungus,0.3898,1,11,1_3
fungus,0.5424,1,11,1_4
fungus,0.359,1,11,1_5
fungus,0.1,1,11,1_6
fungus,0,1,11,1_7
fungus,0.2335,5,11,5_1
fungus,0.1034,5,11,5_2
fungus,0.2079,5,11,5_3
fungus,0.3152,5,11,5_4
fungus,0,5,11,5_5
fungus,0.16,10,11,10_1
fungus,0.1947,10,11,10_2
fungus,0.2172,10,11,10_3
fungus,0.2026,10,11,10_4
fungus,0,10,11,10_5
fungus,0,10,11,10_6
fungus,0,10,11,10_7
fungus,0,10,11,10_8
fungus,0.12915,0,12,0_1
fungus,0.14205,0,12,0_2
fungus,0.3579,0,12,0_3
fungus,0.1635,0,12,0_4
fungus,0.2371,0,12,0_5
fungus,0.3257,0,12,0_6
fungus,0.20115,1,12,1_1
fungus,0.1073,1,12,1_2
fungus,0.12915,1,12,1_3
fungus,0.4989,1,12,1_4
fungus,0.3671,1,12,1_5
fungus,0.2129,1,12,1_6
fungus,0,1,12,1_7
fungus,0.1017,5,12,5_1
fungus,0.1867,5,12,5_2
fungus,0.3234,5,12,5_3
fungus,0,5,12,5_4
fungus,0,5,12,5_5
fungus,0.1535,10,12,10_1
fungus,0.18345,10,12,10_2
fungus,0.2025,10,12,10_3
fungus,0.1994,10,12,10_4
fungus,0,10,12,10_5
fungus,0,10,12,10_6
fungus,0,10,12,10_7
fungus,0,10,12,10_8
fungus,0.1189,0,13,0_1
fungus,0.1357,0,13,0_2
fungus,0.3373,0,13,0_3
fungus,0.1619,0,13,0_4
fungus,0.2347,0,13,0_5
fungus,0.3002,0,13,0_6
fungus,0.193,1,13,1_1
fungus,0.3485,1,13,1_2
fungus,0.5014,1,13,1_3
fungus,0.3549,1,13,1_4
fungus,0.1,1,13,1_5
fungus,0,1,13,1_6
fungus,0,1,13,1_7
fungus,0.1923,5,13,5_1
fungus,0.177,5,13,5_2
fungus,0.3258,5,13,5_3
fungus,0,5,13,5_4
fungus,0,5,13,5_5
fungus,0.147,10,13,10_1
fungus,0.1722,10,13,10_2
fungus,0.1951,10,13,10_3
fungus,0.188,10,13,10_4
fungus,0,10,13,10_5
fungus,0,10,13,10_6
fungus,0,10,13,10_7
fungus,0,10,13,10_8
fungus,0.1239,0,14,0_1
fungus,0.2983,0,14,0_2
fungus,0.1468,0,14,0_3
fungus,0.2278,0,14,0_4
fungus,0.3053,0,14,0_5
fungus,0,0,14,0_6
fungus,0.1748,1,14,1_1
fungus,0.2957,1,14,1_2
fungus,0.4897,1,14,1_3
fungus,0.3298,1,14,1_4
fungus,0,1,14,1_5
fungus,0,1,14,1_6
fungus,0,1,14,1_7
fungus,0.1687,5,14,5_1
fungus,0.3063,5,14,5_2
fungus,0,5,14,5_3
fungus,0,5,14,5_4
fungus,0,5,14,5_5
fungus,0.134,10,14,10_1
fungus,0.1659,10,14,10_2
fungus,0.1834,10,14,10_3
fungus,0.1852,10,14,10_4
fungus,0,10,14,10_5
fungus,0,10,14,10_6
fungus,0,10,14,10_7
fungus,0,10,14,10_8
fungus,0.2935,0,15,0_1
fungus,0.1424,0,15,0_2
fungus,0.2235,0,15,0_3
fungus,0.2947,0,15,0_4
fungus,0,0,15,0_5
fungus,0,0,15,0_6
fungus,0.1615,1,15,1_1
fungus,0.2843,1,15,1_2
fungus,0.4734,1,15,1_3
fungus,0.3353,1,15,1_4
fungus,0,1,15,1_5
fungus,0,1,15,1_6
fungus,0,1,15,1_7
fungus,0.1663,5,15,5_1
fungus,0.3165,5,15,5_2
fungus,0,5,15,5_3
fungus,0,5,15,5_4
fungus,0,5,15,5_5
fungus,0.1536,10,15,10_1
fungus,0.1714,10,15,10_2
fungus,0.1796,10,15,10_3
fungus,0,10,15,10_4
fungus,0,10,15,10_5
fungus,0,10,15,10_6
fungus,0,10,15,10_7
fungus,0,10,15,10_8
fungus,0.2897,0,16,0_1
fungus,0.2292,0,16,0_2
fungus,0.3013,0,16,0_3
fungus,0,0,16,0_4
fungus,0,0,16,0_5
fungus,0,0,16,0_6
fungus,0.2789,1,16,1_1
fungus,0.4778,1,16,1_2
fungus,0.3112,1,16,1_3
fungus,0,1,16,1_4
fungus,0,1,16,1_5
fungus,0,1,16,1_6
fungus,0,1,16,1_7
fungus,0.1505,5,16,5_1
fungus,0.3111,5,16,5_2
fungus,0,5,16,5_3
fungus,0,5,16,5_4
fungus,0,5,16,5_5
fungus,0.1459,10,16,10_1
fungus,0.1585,10,16,10_2
fungus,0.1751,10,16,10_3
fungus,0,10,16,10_4
fungus,0,10,16,10_5
fungus,0,10,16,10_6
fungus,0,10,16,10_7
